,제목,글쓴이,출판사,ISBN,출간연도,줄거리,출판사 서평,crawling
85,응가하자 끙끙,최민오,보림,9788943305451,2004,최민오의 응가하자 끙끙 유아들의 배변훈련을 도와주는 그림책입니다 염소 하마 악어 등 유아가 좋아하는 동물들이 변기에 앉아서 응가하는 모습을 보여줌으로써 유아들의 호기심을 불러일으킵니다  아울러 동물들이 응가를 해낸 다음 신나하는 모습을 담아내 유아가 자연스럽게 배변훈련을 할 수 있도록 인도합니다 콜라주 기법의 그림이 듣는 재미뿐 아니라 보는 즐거움을 안겨줄 것입니다   부모님이나 선생님을 위한   응가하자 끙끙를 유아를 변기에 앉힌 다음 부모님이나 선생님이 소리 내어 읽어주세요 아직 변기와 친숙해지지 않은 유아에게 유용합니다,,0~3세
86,구슬비,권오순,문학동네어린이,8982817514,2003,촉촉이 구슬비가 내리는 어느 날 송알송알 은구슬이 맺힌 싸리잎에서는 달팽이들이 물방울을 던지며 장난을 치고 조롱조롱 옥구슬이 맺힌 거미줄에는 거미가 꼼짝을 못 합니다 또 대롱대롱 물방울이 맺힌 풀잎 위에서는 무당벌레들이 미끄럼을 타고 송송송 물방울이 맺힌 꽃잎에서는 개미들이 물방울로 연주를 합니다 낮잠 자던 아기도 잠에서 깨어 창밖 풍경을 내다 봅니다  구슬비는 비오는 날이면 누구나 흥얼거리게 되는 너무나 친숙하고 아름다운 동시입니다 구슬처럼 예쁜 물방울들이 금방이라도 흘러내릴 듯 맺혀 있는 모습이 아름답게 펼쳐집니다,,0~3세
87,시리동동 거미동동,권윤덕,창비(창작과비평사),893645403X,2003,엄마를 기다리며 꼬리따기 노래를 불러보자  우리시그림책 시리즈 제권 시리동동 거미동동 이 시리즈는 시와 그림이 만난 새로운 형식의 그림책으로 구성되어 있습니다 우리시 고유의 정서와 가락 그리고 삶에 대한 성찰을 재미있는 그림으로 새롭게 펼쳐냅니다  제권은 제주도 특유의 꼬리따기 노래 시리동동 거미동동을 채록하여 재해석한 것입니다 해녀인 엄마를 기다리는 소녀의 하루를 제주도의 아름다운 풍경을 배경으로 펼쳐집니다 특히 까만 돌담의 거미에서 출발하여 토끼 까마귀 하늘 바다 등으로 이어지는 맛깔스러운 꼬리따기 노래가 아이들의 흥미를 불러일으킬 것입니다  강렬하고 순박하며 현실적이고 환상적인 그림은 제주도 특유의 독특한 풍경을 그려낼 뿐 아니라 엄마를 기다려본 적 있는 아이들의 마음을 따스하게 감싸안습니다   부모님이나 선생님을 위한   시리동동 거미동동에 나오는 꼬리따기 노래란 문답이나 설명으로 출발하여 말꼬리를 이어가며 부르는 말잇기 놀이입니다 사물의 대표적인 특성을 이어가면서 부릅니다 딱딱 맞는 박자감뿐 아니라 명료한 이미지성이 특징입니다  아이들과 함께 꼬리따기 노래를 만들어서 불러보세요 어린 시절의 소중한 추억이 만들어질 것입니다,,0~3세
88,똥이 풍덩 여자,알로나 프랑켈,비룡소,9788949180762,2001,변기를 처음 사용하는 유아에게 읽어주는 좋은 책 얘은 송이야 송이는 여자 아이지 안녕 나는 송이의 엄마란다 이제부터 송이와 새 변기 이야기를 들려 줄께 송이는 태어나면서부터 기저귀에 오줌을 누고 똥을 쌌단다 그래서 엄마는 늘 기저귀를 갈아주었지 송이는 태어나서 두 밤 자고도 오줌 누고 똥 싸고 두 달이 되어서도 오줌 누고 똥 싸고,,0~3세
89,과일과 채소로 만든 맛있는 그림책,주경호,보림,9788943301088,2000,생활 속에서 흔히 접하는 과일과 채소 생활 용품을 소재로 동물을 형상화한 그림책 시리즈 세 권이다 이 책은 감자 오이 앵두 등의 과일과 채소를 활용해서 악어 쥐 멧돼지 등의 동물을 표현하고 있다,,0~3세
90,누구야 누구 도토리 자연 그림책,심조원,보리,9788985494854,1998,삐약삐약 멍멍멍 야옹야옹 꿀꿀 등 동물들의 모습 을 보면서 그 동물들의 특징을 울음소리로 판단할 수 있도록 꾸민 아기그림책 우리나라에 살고 있는 동물 과 식물 벌레와 나무 등 수많은 생명체들의 아름다움과 소중함을 일깨우고자 기획된 그림책 시리즈다,,0~3세
91,기차 ㄱㄴㄷ,박은영,비룡소,8949100118,1997,길따란 기차가 나무옆을 지나 다리를 건너 랄랄랄 노래를 부르며 여행을 시작한다 숲과 들판 마을과 언덕 도시를 지나고 터널을 통과해 풀밭을 가로질러 신나게 달린다 기차가 가는 길을 따라 어린이들은 자연스럽게 한글 자음을 배울 수 있다 양장본,,0~3세
92,달님 안녕 ,하야시 아키코,한림출판사,8970940561,1990,달님 안녕 밤이 책은 달님이 점차 환하게 떠오르다가 구름에 가려지고 다시 달님이 모습을 드러내는 늘 볼 수 있는 현상에 의인화하여 섬세하게 표현한 그림책입니다 단순한 이야기지만 밤하늘과 달님 얼굴 구름 집 고양이 그림이 쉽고 간결한 언어로 어우러져 아름답게 펼쳐집니다 양장본,,0~3세
93,손이 나왔네,하야시 아키코,한림출판사,9788970940540,1990,혼자서 옷입는 과정을 통해 아기에게 신체구조를 자연스럽게 가르쳐 주는 생활 그림책 아기는 애를 쓰며 이리저리 옷을 꿰면서 차례차례 손 머리 얼굴 발을익히고 옷을 제대로 입게 된다 옷을 다입고 성취감을느끼는 아기의 모습을 담았다,,0~3세
94,구두구두 걸어라,하야시 아키코,한림출판사,9788970940571,1990,이제 막 걷기 시작하면서 발보다 마음이 앞서 나가는 아기의 마음을 재밌게 표현한 그림책 아장아장 걷다 가 넘어지는 아기의 서툰 걸음을 의인화된 구두로 경 쾌하게 나타냈으며 자연스러운 표현과 단순한 그림이 아기들을 책 속으로 끌어들인다,,0~3세
95,싹싹싹,하야시 아키코,한림출판사,9788970940557,1989,숟가락질이 서투른 아기가 이유식을 혼자서 먹다가 자꾸 흘린다 토끼 인형 곰 인형이 흘린 수프는 아기가 싹싹 닦아주고 아기의 입은 엄마가 싹싹싹 닦아준다 어른들의 행동을 따라하며 혼자서 먹어보려는 아기의 행동을 묘사한 그림책,,0~3세
96,잘잘잘 ,이억배,사계절,895828188X,2006,전래동요 잘잘잘과 함께 배우는 수세기  잘잘잘 은 전래동요 잘잘잘과 함께 수세기를 배울 수 있는 그림책입니다 유아는 재미있는 노랫글에 맞춰 혹은 익살맞은 그림을 통해 수세기를 배울 수 있습니다  이 책에서 수의 개념과 함께 대비되는 것들은 우리 문화와 전통이 담긴 것들입니다 유아는 염소 모는 할아버지 이발사 생선 장수 연날리기 윷놀이 등을 통해 수 부터 까지를 배울 수 있습니다 양장본   이런 점이 돋보여요  이 그림책에는 열 개의 그림 이야기가 들어 있습니다 왼쪽 면은 전래동요 잘잘잘의 노랫글이 소개되고 오른쪽 면은 노래에 걸맞는 그림이 펼쳐집니다,숫자 그림책과 ㄱㄴㄷ 그림책의 기능 영아를 대상으로 한 수세기 책은 수의 개념을 가르친다기보다는 사물의 인식을 도와주는 기능이 강조된다그림책의 이해 쪽 현은자김세희 지음 국내에서 영아를 대상으로 한 글자책은 주로 사물의 이름과 형태 인식을 돕도록 고안되었다 따라서 글자 자체를 익힌다기보다 사물의 특징에 주의를 기울일 수 있도록 한다같은 책 쪽는 말에서 알 수 있듯이 이 두 그림책은 글자와 숫자의 개념을 가르친다기보다는 재미있는 그림 보기를 통해 사물 인식 능력을 돕고 말놀이와 전래동요에 글 내용을 담아 어린 독자의 말하기 능력 발달을 돕습니다  더 나아가 개구쟁이ㄱㄴㄷ에서는 독자에게 너무나 익숙한 일상과 주변 사물을 이야기가 풍성한 그림으로 보여주어 독자의 공감을 이끌어 낸 바 있습니다 개구쟁이ㄱㄴㄷ이 주인공 아이와 도깨비의 이야기 하나를 충실하게 보여주었다면 지금 소개하는 그림책 잘잘잘은 각 숫자마다 이야기가 하나씩 담겨 있습니다  열 개의 그림에 담은 열 개의 이야기 이 그림책에는 열 개의 그림 이야기가 들어 있는 것입니다 왼쪽 면에 배치된 글은 전래동요 잘잘잘 노래를 부릅니다 그리고 오른쪽 면에 있는 그림은 이야기를 들려줍니다  숫자  하나에 담은 이야기 왼쪽 면 하나 하면 할머니가 호박을 이고서 잘잘잘 오른쪽 면 하얀 저고리에 남색 치마 입고 흰 고무신 신은 머리 하얀 꼬부랑 할머니가 주인공입니다 할머니는 노랗게 익은 커다란 호박 하나를 머리에 이고서 어딘가로 가고 있습니다 좋은 곳에 가시는지 얼굴에 웃음이 가득합니다 앞장선 강아지 한 마리도 꼬리를 살랑살랑 흔들고 호랑나비 한 마리도 할머니 앞을 날아갑니다 파란 하늘에 흐르는 구름도 즐겁게 몸을 흔드는 듯합니다 벌 한 마리만 호박꽃에서 꿀을 따느라 할머니를 본 척 만 척 합니다  숫자  일곱에 담은 이야기 왼쪽 면 일곱 하면 이발사가 머리를 깎는다고 잘잘잘 오른쪽 면 왼쪽 면 그림에는 깨끗한 수건 일곱 장이 빨랫줄에 걸려 있고 이발소 표시등이 기둥에 매달려 있습니다 산들바람에 살짝 날리는 수건에서 잘 마른 헝겊 냄새가 풍기는 듯합니다 이 이발소는 굉장히 청결한 곳인가 봅니다 악어 이발사가 고양이의 머리카락을 깎고 있는데 고양이는 머리 깎는 게 영 마음에 들지 않는 모양입니다 줄줄이 앉아 차례를 기다리는 일곱 명의 손님들은 정말 이발을 할 때가 된 손님들입니다 덥수룩한 머리카락이 지저분해 보이거든요 이 이발소 안에서 가장 깔끔한 멋쟁이는 털 하나 없는 악어 이발사예요  이렇게 하나부터 열까지 오른쪽 면 그림에서 독자들은 저마다 즐거운 이야기를 읽어낼 수 있습니다  그림에 담은 우리의 문화와 정서 그 이야기의 소재는 꼬부랑 할머니 염소 모는 할아버지 이발사 생선 장수 연날리기 윷놀이 등으로 우리의 문화와 정서가 잘 담긴 것들입니다 전통 놀이에서부터 얼마 전까지 동네마다에서 볼 수 있었던 이발소 풍경까지 우리네 삶의 모습이 고스란히 그리고 유머러스하게 들어 있는 그림책입니다 그리고 열 개 이야기의 주인공이 모두 만나는 마지막 장면은 떠들썩한 축제 같은 기차 여행으로 끝이 납니다  입안에 맴도는 노래 이 그림책은 기차의 출발로 끝납니다만 독자의 입안에서는 새로이 이야기가 시작됩니다 책을 보는 동안 반복해서 읽었던 말 잘잘잘이 책을 덮고 나면 입안을 맴돌며 노래로 흘러나오는 것입니다 참 그러고 보니 이 책은 읽는 책이 아니라 노래 부르는 그림책입니다 아이와 함께 잘잘잘 노래를 부르며 그림책을 보는 즐거움이 이 책의 가장 큰 장점이랍니다,0~3세
97,새는 새는 나무 자고,전래동요,창비,8936454110,2006,전래 자장노래인 새는 새는 나무 자고에 그림 작가 정순희의 그림이 더해져 색다른 자장노래 그림책이 탄생했다 이 동요는 우리 민족의 정서가 고스란히 담긴 자장노래로 따라 부르는 것만으로도 어머니의 사랑과 정성을 느낄 수 있다 이러한 느낌을 옛스러운 그림을 통해 따뜻하게 전달한다  새는 새는 나무 자고는 조 가락이 반복되면서 세상 만물과 잠에 빠져드는 아기의 숨결이 잘 느껴지는 노래로 가장 노랫말이 풍성한 대구 지방 노래를 중심으로 엮고 다듬어 글을 완성했다 부드럽게 스미는 모필과 한국적 채색으로 풀어낸 파란 어둠은 어린이 독자를 편안한 잠자리로 이끈다,잠에 빠져드는 아기의 숨결이 담긴 노래 아기를 재울 때 부르는 자장노래는 노랫소리와 몸의 움직임을 통해 아기에게 그 민족의 문화적 양식을 전해줍니다 서양의 자장노래가 박자라면 우리 자장노래는 박자입니다 전래동요 새는 새는 나무 자고는 조 가락이 반복되면서 세상 만물과 더불어 잠에 빠져드는 아기의 숨결이 잘 느껴지는 노래입니다 전국에서 불리던 여러 형태의 새는 새는 나무 자고 중에서 가장 노랫말이 풍부한 대구 지방 노래를 중심으로 엮고 다듬어 글을 완성했습니다  왕버드나무로 피어난 모성 책을 펼치면 책 전체를 싸안고 있는 풍성한 왕버드나무 잎사귀가 보입니다 사계절의 모습을 모두 담고 있는 왕버드나무는 작가가 창조한 또 다른 어머니의 모습입니다 작가는 푸른 밤 세상 만물에 잠을 전해 주는 듯한 왕버드나무의 모습을 통해 그가 생각하는 모성의 의미를 그림에 담으려 했습니다 쪽빛 질감 속 깊이 잠자는 동식물들은 마치 어머니 품속에서 편안히 잠들어 있는 것 같습니다 그림 속 어머니는 자지 않으려는 아이를 안고 마을 구석구석에서 고물고물 잠을 청하는 생명을 노래합니다 그 모습은 아이를 향한 모성이 만물을 보살피는 손길로 확장될 수 있음을 보여주며 감동을 줍니다 가난해도 넉넉하게 주변을 걷어 먹이던 옛날 우리 어머니의 모습을 닮았습니다  한국적 색채로 펼쳐지는 밤의 세계 부드럽게 스미는 모필과 한국적 채색으로 풀어낸 파란 어둠은 우리 아이들의 마음을 잠으로 이끕니다 전통 색감의 아름다움을 살린 좋은 그림들로 독자들의 사랑을 받고 있는 정순희는 이번 그림책에서도 그의 특장을 마음껏 살려냈습니다 전통 채색 기법에 맑은 채색 느낌을 더하여 신비롭고 따뜻한 쪽빛을 표현해냈습니다 여기에 우리 어머니들의 생활 속 멋과 정감을 더해 우리 그림책에서 지금껏 볼 수 없었던 독창적인 밤의 세계를 만들어냅니다 깊어가는 밤을 밝은 황토에서 짙은 쪽빛으로 곱게 풀어낸 이 책을 보고 있노라면 다디단 잠이 기다리는 밤이 선물처럼 여겨집니다  자연과 함께 살아 숨쉬고 싶은 바람으로 완성된 자장노래 그림책 화가 정순희는 뭇 생명과 더불어 살아가고 잠이 드는 이 노래의 자연관에 매료되어 이 그림책을 만들기 시작했습니다 그림책 첫 작업은 임실과 김제 부안 등지로의 취재 여행이었습니다 아기가 잠드는 옛집 소가 자는 외양간 등의 모습을 원형 그대로 재현하기 위해 다녔던 이 여행에서 정순희는 사람과 동물이 함께 살아가는 모습에 큰 감동을 받았습니다 밤에는 사람도 동물도 산도 들도 모두 함께 잠이 들고 낮이면 깨어나는 것이 정상적인 삶의 모습이지만 현대 사회에서는 낯선 풍경에 가깝습니다 작가는 자연과 함께 잠드는 진짜 밤과 자연과 함께 깨어나는 진짜 아침을 지금 우리 아이들에게 되찾아 주고 싶은 바람을 이 책에 담았습니다  시와 그림이 만나 그림책의 새로운 가능성을 보여 준 우리시그림책 완간 우리시그림책은 시와 그림의 독특한 결합 방식으로 그림책의 새 가능성을 보여 준 시리즈입니다 어린이들을 위해 엄선한 전래동요 현대시 어린이 시를 토대로 우리 시문학 고유의 운율과 이미지 삶에 대한 성찰을 개성 있는 형식으로 표현했습니다 년 시리동동 거미동동제주도 꼬리따기 노래 권윤덕 고쳐 쓰고 그림으로 첫선을 보인 후 여 년간 넉 점 반윤석중 시 이영경 그림 준치 가시백석 시 김세현 그림 영이의 비닐 우산윤동재 시 김재홍 그림 등 국내 최고의 그림 작가들이 참여하여 새롭고 깊이 있는 해석으로 우리 그림책의 지평을 넓혀 왔습니다 매 작품마다 독창적인 캐릭터 아름답고 전통적인 색감 다양한 기법이 펼쳐진 그림책들로 빛납니다 우리시그림책의 성과는 해외에서도 인정받아 각종 해외 전시에 초청받았으며 프랑스 일본 스위스 중국 등으로 수출되어 세계 어린이들과 만나고 있습니다 아이들과 나누고 싶은 우리의 자연과 전통과 문화를 담아낸 이 시리즈가 전세계 어린이들을 이어 주고 어른과 어린이가 함께 보며 세대를 넘어 정감을 나눌 수 있는 그림책으로 오랫동안 독자 곁에 남기를 바랍니다   우리시그림책 목록전 권 완간   시리동동 거미동동 제주도 꼬리따기 노래 권윤덕 고쳐 쓰고 그림  내 동생 주동민 어린이 시 조은수 그림  넉 점 반 윤석중 시 이영경 그림  낮에 나온 반달 윤석중 시 김용철 그림  길로 길로 가다가 전래동요 전인강 그림  영이의 비닐우산 윤동재 시 김재홍 그림  새는 새는 나무 자고 전래동요 정순희 그림  준치 가시 백석 시 김세현 그림  여우난골족 백석 시 홍성찬 그림  석수장이 아들 전래동요 권문희 그림  선생님 과자 장명용 어린이 시 김유대 그림  쨍아 천정철 시 이광익 그림  둥그렁 뎅 둥그렁 뎅 전래동요 김종도 그림  징금 징금 징금이 전래동요 윤정주 그림  강아지와 염소 새끼 권정생 시 김병하 그림,0~3세
98,엄마없는 날 엄마와 함께 읽는 첫 동시집 정두리 유아동시,정두리,파랑새어린이,9788970572376,2001,세부터 세까지 아이가 읽는 동시집 계란 프라이 같다 호박꽃은 내 얼굴보다 크다 호박잎은 넝쿨손을 뻗어 땅을 호박잎으로 덮는다 호박덩이 세 개를 호박잎 속에 숨겨 놓았다의 호박꽃을 비롯해 여 편의 동시를 아름다운 그림과 함께 실었다 어린이들의 눈과 마음의 높이에 맞춰 아주 쉬운 말로 어린이들이 가까이 느낄 수 있는 일과 사물을 시에다 옮겼다,,0~3세
99,토끼가 커졌어,정성훈,한솔수북,9788953545342,2007,토끼가 커졌어요 갑자기 커져 버린 토끼 그리고 마치 사나운 맹수처럼 숲 속을 헤집고 다니는 토끼의 모습 등 어처구니 없으면서도 즐거운 상상의 세계가 펼쳐집니다 놀라서 도망가는 모습 다시 작아진 토끼를 본 뒤의 모습 등 동물들의 살아있는 표정을 보는 것도 쏠쏠한 재미지요 회화적인 느낌과 콜라주 기법의 느낌이 어우러져 독특한 분위기를 풍기는 그림책입니다  토끼는 여느 때와 똑같이 잠자리에 들었고 여느 때와 똑같이 아침 해가 밝았지요 그런데 뭔가 이상해요 갑자기 토끼가 커져 버렸거든요 엄청 커진 토끼는 무시무시한 이빨과 날카로운 발톱으로 날마다 자기를 괴롭힌 여우와 호랑이를 잡아 먹어 버렸어요 그리고 괜히 까닭도 없이 숲 속을 헤집고 다니면서 동물들을 괴롭혀요 양장본   이런 점이 좋습니다 순하기만 했던 토끼는 힘센 동물이 되자 예전 힘센 동물들과 마찬가지로 약한 동물들을 괴롭히죠 그림책을 다 읽은 후 힘이란 무엇인지 왜 힘센 토끼는 이유 없이 동물들을 괴롭혔는지 그리고 만약 토끼처럼 힘이 세진다면 어떻게 행동할 것인지 얘기 나눠 보세요,해가 떠 있는 동안 벌어지는 어처구니 없는 사건  한 남자가 있다 어느 날 아침 그는 벌레가 되어 있는 자신을 발견한다 프란츠 카프카의 소설 변신에서 보면 주인공 그레고리가 꿈에서 깨어났을 때 침대 속에서 이상한 벌레로 변해 버린 자기를 발견한다 그레고리처럼 토끼도 여느 때랑 똑같이 잠자리에 들었는데 하루 아침에 바뀌어 버린 자기 모습에 놀라지 않을 수 없다 침대를 비집고 나온 엄청 커다란 몸집에 무시무시한 이빨과 날카로운 발톱까지 생겼으니 말이다 하지만 집 밖으로 나왔을 때는 상황 역전 토끼한테 난생 처음 벌어지는 기분이 썩 괜찮은 일이 생긴다 동물들은 너나 할 것 없이 달아나기 바빴고 날마다 자기를 괴롭히는 여우와 숲 속의 왕인 호랑이까지 잡아먹고는 숲 속에서 가장 힘센 동물이 되었으니 토끼의 우쭐함은 하늘을 찌를 듯하다 딱히 그럴 까닭도 없는데 토끼는 맹수처럼 으르렁거리며 숲 속을 헤집고 다니며 동물들을 괴롭힌다 해가 기울도록 끈질기게 그러다 해가 지고 또 한번 이상한 일이 벌어진다 토끼가 작아졌다 이 어처구니 없는 사건으로 달아나기 바쁜 동물들도 작아진 토끼도 어리둥절했지만 숲 속의 밤은 아무 일도 없었다는 듯이 여전히 평온하기만 하다  갑자기 힘이 세진다면  세상에는 힘이 센 사람도 있고 힘이 약한 사람도 있다 세상에는 힘이 센 나라도 있고 힘이 약한 나라도 있다 동물도 마찬가지로 힘이 센 동물도 있고 힘이 약한 동물도 있다 힘이 센 사람과 약한 사람 힘이 센 나라와 약한 나라 힘이 센 동물과 약한 동물 어느 날 갑자기 이들이 서로 뒤바뀌어 버린다면 어떤 일이 벌어질까 이런 작은 생각을 바탕으로 토끼가 커졌어 그림책을 만들었다 갑자기 커진 토끼라면 어떤 행동을 할 수 있을까 바뀐 모습에 부끄러워 하루 종일 집 밖으로 안 나갈 수도 있고 힘이 약한 동물을 도와줄 수 있을 테고 이 책에 나온 토끼처럼 자기를 괴롭히는 여우뿐만 아니라 다른 동물들까지 까닭 없이 괴롭힐 수도 있을 것이다  이야기의 재미를 더해 주는 그림  한없이 귀엽기만 한 토끼 뒤에 날카로운 뾰족한 이빨이 보이는 커다란 그림자가 드리운 표지가 눈에 띈다 작고 귀여운 토끼에서 무시무시한 토끼로 변한 모습과 점점 사나워질수록 바뀌는 빛깔 토끼의 자만심이 커질수록 변하는 토끼의 행동을 따라가다 보면 이야기에 흠뻑 빠져 들 것이다 또한 놀라서 달아나는 동물의 모습들 토끼가 무슨 일을 벌일까 조마조마한 동물들의 표정 다시 작아진 토끼를 본 뒤에 동물들의 표정 하나하나를 보는 재미도 쏠쏠하다,0~3세
100,바람이 살랑,조미자,국민서관,9788911027453,2008,바람이 살랑 불어오는 거리 어느 한때의 풍경을 조각조각 나누어 보여준다 이야기는 창 밖으로 얼굴을 내밀고 꽃향기를 맡는 시인 아저씨의 모습을 비추는 것으로 출발하여 그 주변의 여러 공간과 자연 사람들을 차례차례 비춘다 맨 마지막 페이지에서는 각 장면들을 한자리에 모은 또 하나의 큰 그림이 완성된다  신호등 스위치를 끄는 실수를 한 교통순경 외줄타기를 하는 어릿광대 공원 벤치에 나란히 사이좋게 앉은 꼬마 친구들 하늘을 나는 비행사 풀잎 위를 뛰어다니는 개구리 하늘 가득 날아오르는 벌과 나비떼 감각적인 스케치의 알록달록한 그림이 넉넉한 여백과 어우러져 있다,눈을 들어 밖을 내다보세요 살랑 바람이 불어요 한가로운 봄날 오후 빨간 모자를 쓴 시인 아저씨가 꼬리를 길게 늘어뜨린 고양이와 함께 창밖을 내다보고 있습니다 풀잎 무늬 커튼이 하늘하늘 살랑대는 바람결 따라 춤추고 있고요  잠깐 밖을 내다보고 있는 시인 아저씨와 고양이의 표정이 좀 수상한데요 아무래도 밖에 무슨 일이 벌어지고 있나 봐요 정말이지 궁금해서 못 참겠어요 발꿈치 살짝 들고 한발 한발 조심조심 시인 아저씨 곁으로 다가가 봐요 쉿 아저씨한테 들키지 않게 고양이 걸음을 하고 살금살금  너무도 조용해서 나른하기만 한 봄날 오후 아무 일도 일어날 것 같지 않은 지금 시인 아저씨를 따라 즐겁고 신나는 여행을 떠나 봐요  자꾸자꾸 다음 장면이 궁금해지는 마법 같은 그림책 풀잎 무늬 커튼 너머로 빨간 화분이 보입니다 활짝 피어난 꽃에서는 좋은 향기가 나고요 그 향기가 바람을 타고 시인 아저씨 코끝에 닿습니다 그런데 어디선가 빵빵 대체 무슨 소리일까요  이런 이런 도로에 차가 꽉 막혀 있네요 빨강 파랑 신호등은 모두 꺼져 있고요 거리에 사람들이 아우성을 치고 있어요 성질 급한 아저씨는 자동차 밖으로 얼굴을 내밀었어요 그런데 저만치 경찰관이 기린 목을 하고 하늘을 보고 있네요 아우성에도 아랑곳 않고요 어 하늘에 색색의 연기가 피어나고 있어요 동글동글 나풀나풀 대체 저건 뭐죠  페이지를 넘길 때마다 궁금증을 불러일으키는 그림책 바람이 살랑을 만나보세요 봄볕처럼 따뜻하고 유쾌한 그림이 리드미컬한 글과 어울려 까불까불 우리 아이 마음에 잔잔한 평화와 고요를 안겨 줍니다 정신없는 일상에서 잠시 벗어나 바람의 손짓을 느껴보세요  숨은 그림도 찾고 이 그림책은 한 장면에서 다음 장면으로 넘어가는 찰나 다음 이야기를 상상하게 하는 작은 연결고리들이 숨어 있어요 규칙적이진 않지만 그 연결고리들이 그림책 보는 재미를 주지요  특이한 점은 마치 카메라 앵글이 천천히 돌아가면서 한 장면 한 장면을 클로즈업하듯이 독립적으로 비춰주지요 그러다가 마지막 페이지에서 짠 앞서 보여주었던 장면들을 한번에 보여줍니다 지금까지 각각 다른 이야기를 만들어냈던 장면 장면들이 사실은 한 공간 안에서 이루어진 것이라는 것을 놀랍고도 멋지게 보여주고 있지요  바람이 살랑은 이처럼 지금까지 만나보지 못한 새로운 그림책입니다 엄마와 마주앉아 도란도란 이야기하듯 친구와 흥얼흥얼 노래하듯 그것도 아니라면 혼자서 중얼중얼 시를 읽듯 읊조리면서 아이 스스로 자유롭게 상상의 날개를 펼쳐보도록 도와주지요  또한 빵빵 시잉윙윙윙 등 의성어나 의태어를 강조하여 동시처럼 간결한 글이지만 리듬감을 충분히 살려내었습니다 그래서 아이들이 보기에 지루하지 않도록 배려했지요 산만한 아이라도 책 가까이 불러 앉히는 특별한 그림책입니다  그림책 속 등장인물과 친구도 되고 아이들이 친근하게 만날 수 있는 사랑스런 등장인물이 장면마다 등장합니다 시인 아저씨라든가 고양이 자동차 비행기 개구리 꿀벌 나비 등등 친근하고 정감어린 책 속 친구와 함께 다양한 이야기를 만들어낼 수 있어요 봄날 햇살처럼 따뜻하면서도 장난꾸러기 아이처럼 유쾌한 그림책 바람이 살랑을 만나보세요,0~3세
